Drug1,Drug2,Prob,SimilaritySource,Method
DB01072,C0019064,0.9713,HPO,BLM
DB00316,C0017565,0.9713,HPO,BLM
DB00349,C0015402,0.9713,HPO,BLM
DB06213,C0029089,0.9713,HPO,BLM
DB00633,C0151699,0.9713,HPO,BLM
DB00709,C0151699,0.9712,HPO,BLM
DB01073,C0029089,0.9712,HPO,BLM
DB00953,C0019064,0.9712,HPO,BLM
DB00035,C0162119,0.9712,HPO,BLM
DB01264,C0018926,0.9711,HPO,BLM
DB00571,C0162119,0.9711,HPO,BLM
DB01029,C0151699,0.971,HPO,BLM
DB01072,C0015402,0.971,HPO,BLM
DB06698,C0019079,0.971,HPO,BLM
DB01072,C0003855,0.9709,HPO,BLM
DB00572,C0162119,0.9708,HPO,BLM
DB00297,C0015402,0.9708,HPO,BLM
DB00630,C0014591,0.9708,HPO,BLM
DB01262,C0917798,0.9708,HPO,BLM
DB00969,C0917798,0.9707,HPO,BLM
DB01186,C0040053,0.9707,UMLS,BLM
DB01068,C0015402,0.9707,HPO,BLM
DB00491,C0019079,0.9707,HPO,BLM
DB05528,C0018926,0.9706,HPO,BLM
DB00289,C0015402,0.9705,HPO,BLM
DB00709,C0018926,0.9705,HPO,BLM
DB00804,C0162119,0.9705,HPO,BLM
DB06663,C0162119,0.9705,HPO,BLM
DB00757,C0018926,0.9705,HPO,BLM
DB04896,C0151699,0.9704,HPO,BLM
DB00224,C0151699,0.9703,HPO,BLM
DB00693,C0019572,0.9703,HPO,BLM
DB01008,C0042345,0.9703,HPO,BLM
DB01046,C0018099,0.9703,HPO,BLM
DB09101,C0018099,0.9703,HPO,BLM
DB01129,C0003855,0.9702,HPO,BLM
DB09065,C0162119,0.9702,HPO,BLM
DB01186,C0576995,0.9701,UMLS,BLM
DB00227,C0015402,0.9701,HPO,BLM
DB00976,C0018926,0.9701,HPO,BLM
DB06210,C0017565,0.97,HPO,BLM
DB01262,C0003855,0.97,HPO,BLM
DB00580,C0019079,0.97,HPO,BLM
DB00706,C0015402,0.97,HPO,BLM
DB01609,C0151699,0.97,HPO,BLM
DB01262,C0008311,0.9699,HPO,BLM
DB06809,C0042514,0.9699,HPO,BLM
DB00481,C0151699,0.9699,HPO,BLM
DB00399,C0019064,0.9699,HPO,BLM
DB00969,C0029456,0.9696,HPO,BLM
DB01083,C0017565,0.9696,HPO,BLM
DB09101,C0027651,0.9696,HPO,BLM
DB01046,C0162119,0.9696,HPO,BLM
DB00399,C0151699,0.9695,HPO,BLM
DB00685,C0019079,0.9695,HPO,BLM
DB00762,C0042345,0.9695,HPO,BLM
DB00507,C0015402,0.9695,HPO,BLM
DB01264,C0019572,0.9694,HPO,BLM
DB04854,C0162119,0.9694,HPO,BLM
DB01628,C0018926,0.9694,HPO,BLM
DB00209,C0018926,0.9694,HPO,BLM
DB01059,C0040053,0.9694,UMLS,BLM
DB00804,C0019079,0.9694,HPO,BLM
DB00331,C0042514,0.9694,HPO,BLM
DB09065,C0018926,0.9692,HPO,BLM
DB00296,C0151699,0.9692,HPO,BLM
DB00472,C0151705,0.9692,UMLS,BLM
DB00489,C0018926,0.9692,HPO,BLM
DB00571,C0019065,0.9692,UMLS,BLM
DB06809,C0018926,0.9692,HPO,BLM
DB01129,C0019064,0.9689,HPO,BLM
DB00583,C0019572,0.9689,HPO,BLM
DB01150,C0019079,0.9689,HPO,BLM
DB06825,C0018926,0.9689,HPO,BLM
DB00293,C0162119,0.9689,HPO,BLM
DB01215,C0151699,0.9689,HPO,BLM
DB01072,C0018926,0.9688,HPO,BLM
DB01083,C0018926,0.9688,HPO,BLM
DB00658,C0018926,0.9688,HPO,BLM
DB00630,C0019079,0.9688,HPO,BLM
DB01232,C0018926,0.9688,HPO,BLM
DB01129,C1384606,0.9687,HPO,BLM
DB00928,C0003855,0.9687,HPO,BLM
DB06769,C0018926,0.9686,HPO,BLM
DB01254,C0015402,0.9685,HPO,BLM
DB09101,C0019079,0.9685,HPO,BLM
DB01268,C0018926,0.9685,HPO,BLM
DB00641,C0015402,0.9684,HPO,BLM
DB00461,C0019064,0.9684,HPO,BLM
DB04854,C0149871,0.9684,HPO,BLM
DB00736,C0017565,0.9683,HPO,BLM
DB06215,C0015402,0.9683,HPO,BLM
DB00999,C0162119,0.9683,HPO,BLM
DB00331,C0018926,0.9683,HPO,BLM
DB01609,C0015402,0.9683,HPO,BLM
DB00370,C0151701,0.9682,UMLS,BLM
DB08874,C0019079,0.9682,HPO,BLM
DB00976,C0162119,0.9682,HPO,BLM
DB01058,C0019079,0.9681,HPO,BLM
DB00916,C0162119,0.9681,UMLS,BLM
DB01024,C0151699,0.9681,HPO,BLM
DB00355,C0162119,0.968,HPO,BLM
DB00496,C0018099,0.968,HPO,BLM
DB00877,C0005695,0.968,HPO,BLM
DB05528,C0019079,0.9679,HPO,BLM
DB01220,C0018926,0.9679,HPO,BLM
DB04835,C0017565,0.9678,HPO,BLM
DB00297,C0017565,0.9678,HPO,BLM
DB00611,C0024117,0.9677,HPO,BLM
DB00175,C0018926,0.9677,HPO,BLM
DB00804,C0015402,0.9677,HPO,BLM
DB00958,C0019079,0.9676,HPO,BLM
DB01129,C0015402,0.9676,HPO,BLM
DB00491,C0702166,0.9676,HPO,BLM
DB00884,C0017565,0.9676,HPO,BLM
DB00419,C0162119,0.9676,HPO,BLM
DB00396,C0003855,0.9675,HPO,BLM
DB05528,C0027651,0.9674,HPO,BLM
DB00320,C0003855,0.9673,HPO,BLM
DB12403,C0017565,0.9673,HPO,BLM
DB00296,C0015402,0.9673,HPO,BLM
