Drug1,Drug2,Prob,Source,Method
DB00957,DB01395,0.6667,DrugBank,semEP
DB12248,DB00867,0.6667,DrugBank,semEP
DB01365,DB09085,0.6667,DrugBank,semEP
DB01202,DB09477,0.6667,DrugBank,semEP
DB00255,DB00658,0.6667,DrugBank,semEP
DB13179,DB00954,0.6667,DrugBank,semEP
DB01365,DB06711,0.6667,DrugBank,semEP
DB06148,DB00370,0.6667,DrugBank,semEP
DB05109,DB00788,0.6667,DrugBank,semEP
DB00195,DB09351,0.6667,DrugBank,semEP
DB00195,DB01241,0.6667,DrugBank,semEP
DB01171,DB09072,0.6667,DrugBank,semEP
DB01259,DB01233,0.6667,DrugBank,semEP
DB12248,DB01239,0.6667,DrugBank,semEP
DB05521,DB09031,0.6667,DrugBank,semEP
DB00361,DB00762,0.6667,DrugBank,semEP
DB12156,DB01910,0.6667,DrugBank,semEP
DB05246,DB00255,0.6667,DrugBank,semEP
DB00624,DB00396,0.6667,DrugBank,semEP
DB08980,DB11960,0.6667,DrugBank,semEP
DB09056,DB00715,0.6667,DrugBank,semEP
DB01035,DB00737,0.6667,DrugBank,semEP
DB00996,DB01107,0.6667,DrugBank,semEP
DB13679,DB01620,0.6667,DrugBank,semEP
DB09342,DB00521,0.6667,DrugBank,semEP
DB01160,DB12789,0.6667,DrugBank,semEP
DB01612,DB08981,0.6667,DrugBank,semEP
DB09080,DB08980,0.6667,DrugBank,semEP
DB13667,DB13682,0.6667,DrugBank,semEP
DB11268,DB00612,0.6667,DrugBank,semEP
DB04574,DB02187,0.6667,DrugBank,semEP
DB00570,DB11613,0.6667,DrugBank,semEP
DB01612,DB00996,0.6667,DrugBank,semEP
DB01380,DB01134,0.6667,DrugBank,semEP
DB06402,DB04417,0.6667,DrugBank,semEP
DB00857,DB00754,0.6667,DrugBank,semEP
DB09251,DB00483,0.6667,DrugBank,semEP
DB01612,DB08895,0.6667,DrugBank,semEP
DB04417,DB09102,0.6667,DrugBank,semEP
DB11512,DB06696,0.6667,DrugBank,semEP
DB01434,DB00302,0.6667,DrugBank,semEP
DB01440,DB12161,0.6667,DrugBank,semEP
DB00322,DB01101,0.6667,DrugBank,semEP
DB01201,DB09243,0.6667,DrugBank,semEP
DB05271,DB01431,0.6667,DrugBank,semEP
DB01365,DB09080,0.6667,DrugBank,semEP
DB00907,DB11181,0.6667,DrugBank,semEP
DB06204,DB13345,0.6667,DrugBank,semEP
DB09351,DB00289,0.6667,DrugBank,semEP
DB01708,DB02789,0.6667,DrugBank,semEP
DB01434,DB08059,0.6667,DrugBank,semEP
DB09250,DB08980,0.6667,DrugBank,semEP
DB00714,DB00901,0.6667,DrugBank,semEP
DB01067,DB01289,0.6667,DrugBank,semEP
DB09220,DB00734,0.6667,DrugBank,semEP
DB00857,DB09291,0.6667,DrugBank,semEP
DB01301,DB00501,0.6667,DrugBank,semEP
DB00955,DB04626,0.6667,DrugBank,semEP
DB08626,DB09017,0.6667,DrugBank,semEP
DB00857,DB00735,0.6667,DrugBank,semEP
DB01529,DB00280,0.6667,DrugBank,semEP
DB06157,DB05107,0.6667,DrugBank,semEP
DB00759,DB00339,0.6667,DrugBank,semEP
DB00877,DB13650,0.6667,DrugBank,semEP
DB06216,DB00159,0.6667,DrugBank,semEP
DB08882,DB08626,0.6667,DrugBank,semEP
DB00443,DB00240,0.6667,DrugBank,semEP
DB01244,DB00281,0.6667,DrugBank,semEP
DB04165,DB06711,0.6667,DrugBank,semEP
DB00361,DB01431,0.6667,DrugBank,semEP
DB00444,DB00218,0.6667,DrugBank,semEP
DB00860,DB00602,0.6667,DrugBank,semEP
DB01090,DB00296,0.6667,DrugBank,semEP
DB00636,DB00612,0.6667,DrugBank,semEP
DB11995,DB01107,0.6667,DrugBank,semEP
DB13953,DB00947,0.6667,DrugBank,semEP
DB01233,DB00793,0.6667,DrugBank,semEP
DB00469,DB06441,0.6667,DrugBank,semEP
DB01246,DB00679,0.6667,DrugBank,semEP
DB09076,DB04829,0.6667,DrugBank,semEP
DB00694,DB12881,0.6667,DrugBank,semEP
DB01087,DB11828,0.6667,DrugBank,semEP
DB00960,DB09352,0.6667,DrugBank,semEP
DB09072,DB01431,0.6667,DrugBank,semEP
DB01366,DB00996,0.6667,DrugBank,semEP
DB02925,DB00887,0.6667,DrugBank,semEP
DB01244,DB06711,0.6667,DrugBank,semEP
DB12092,DB00243,0.6667,DrugBank,semEP
DB06174,DB01177,0.6667,DrugBank,semEP
DB12939,DB00400,0.6667,DrugBank,semEP
DB05246,DB04825,0.6667,DrugBank,semEP
DB01035,DB01365,0.6667,DrugBank,semEP
DB09352,DB01255,0.6667,DrugBank,semEP
DB09082,DB01110,0.6667,DrugBank,semEP
DB09166,DB01559,0.6667,DrugBank,semEP
DB03515,DB04574,0.6667,DrugBank,semEP
DB07615,DB01235,0.6667,DrugBank,semEP
DB01090,DB01255,0.6667,DrugBank,semEP
DB13314,DB00217,0.6667,DrugBank,semEP
DB06706,DB09352,0.6667,DrugBank,semEP
DB00669,DB08953,0.6667,DrugBank,semEP
DB06735,DB00882,0.6667,DrugBank,semEP
DB01434,DB01431,0.6667,DrugBank,semEP
DB09285,DB09295,0.6667,DrugBank,semEP
DB01626,DB11742,0.6667,DrugBank,semEP
DB06212,DB00612,0.6667,DrugBank,semEP
DB00006,DB00886,0.6667,DrugBank,semEP
DB09288,DB00281,0.6667,DrugBank,semEP
DB01090,DB00703,0.6667,DrugBank,semEP
DB01440,DB01171,0.6667,DrugBank,semEP
DB06290,DB00844,0.6667,DrugBank,semEP
DB00669,DB00857,0.6667,DrugBank,semEP
DB00937,DB00765,0.6667,DrugBank,semEP
DB08906,DB08437,0.6667,DrugBank,semEP
DB13500,DB06711,0.6667,DrugBank,semEP
DB01241,DB09477,0.6667,DrugBank,semEP
DB00226,DB00742,0.6667,DrugBank,semEP
DB11995,DB01426,0.6667,DrugBank,semEP
DB00908,DB05107,0.6667,DrugBank,semEP
DB13772,DB01208,0.6667,DrugBank,semEP
DB09053,DB00755,0.6667,DrugBank,semEP
DB13443,DB09351,0.6667,DrugBank,semEP
DB06706,DB04825,0.6667,DrugBank,semEP
DB12321,DB01395,0.6667,DrugBank,semEP
DB09351,DB00612,0.6667,DrugBank,semEP
DB04870,DB02187,0.6667,DrugBank,semEP
DB08943,DB01110,0.6667,DrugBank,semEP
DB12945,DB06706,0.6667,DrugBank,semEP
DB01405,DB00537,0.6667,DrugBank,semEP
DB09007,DB04837,0.6667,DrugBank,semEP
DB11575,DB11613,0.6667,DrugBank,semEP
DB01274,DB09288,0.6667,DrugBank,semEP
DB01612,DB09243,0.6667,DrugBank,semEP
DB00588,DB00591,0.6667,DrugBank,semEP
DB00788,DB00661,0.6667,DrugBank,semEP
DB00255,DB00661,0.6667,DrugBank,semEP
DB09309,DB01321,0.6667,DrugBank,semEP
DB00195,DB01365,0.6667,DrugBank,semEP
DB01026,DB08437,0.6667,DrugBank,semEP
DB09227,DB09230,0.6667,DrugBank,semEP
DB13443,DB01235,0.6667,DrugBank,semEP
DB01365,DB00612,0.6667,DrugBank,semEP
DB00826,DB00646,0.6667,DrugBank,semEP
DB09254,DB03756,0.6667,DrugBank,semEP
DB00195,DB01259,0.6667,DrugBank,semEP
DB01244,DB01591,0.6667,DrugBank,semEP
DB00511,DB01396,0.6667,DrugBank,semEP
DB01241,DB00715,0.6667,DrugBank,semEP
DB00512,DB01255,0.6667,DrugBank,semEP
DB06402,DB09243,0.6667,DrugBank,semEP
DB01015,DB00339,0.6667,DrugBank,semEP
DB00788,DB06594,0.6667,DrugBank,semEP
DB01440,DB00857,0.6667,DrugBank,semEP
DB00591,DB01047,0.6667,DrugBank,semEP
DB01112,DB09079,0.6667,DrugBank,semEP
DB01365,DB00281,0.6667,DrugBank,semEP
DB00841,DB00901,0.6667,DrugBank,semEP
DB12070,DB01177,0.6667,DrugBank,semEP
DB08827,DB00501,0.6667,DrugBank,semEP
DB00195,DB01440,0.6667,DrugBank,semEP
DB00367,DB00717,0.6667,DrugBank,semEP
DB00388,DB01401,0.6667,DrugBank,semEP
DB01064,DB12248,0.6667,DrugBank,semEP
DB09292,DB00765,0.6667,DrugBank,semEP
DB00537,DB00779,0.6667,DrugBank,semEP
DB06689,DB06212,0.6667,DrugBank,semEP
DB01410,DB00846,0.6667,DrugBank,semEP
DB04898,DB05521,0.6667,DrugBank,semEP
DB00615,DB08437,0.6667,DrugBank,semEP
DB01103,DB13941,0.6667,DrugBank,semEP
DB06204,DB00316,0.6667,DrugBank,semEP
DB09251,DB03756,0.6667,DrugBank,semEP
DB08883,DB00316,0.6667,DrugBank,semEP
DB01408,DB01001,0.6667,DrugBank,semEP
DB05767,DB09070,0.6667,DrugBank,semEP
DB01244,DB01431,0.6667,DrugBank,semEP
DB01339,DB05107,0.6667,DrugBank,semEP
DB11892,DB01349,0.6667,DrugBank,semEP
DB01044,DB01232,0.6667,DrugBank,semEP
DB12161,DB11915,0.6667,DrugBank,semEP
DB09085,DB09352,0.6667,DrugBank,semEP
DB01035,DB06282,0.6667,DrugBank,semEP
DB00255,DB00976,0.6667,DrugBank,semEP
DB13261,DB08437,0.6667,DrugBank,semEP
DB00606,DB01235,0.6667,DrugBank,semEP
DB00783,DB07931,0.6667,DrugBank,semEP
DB09076,DB00570,0.6667,DrugBank,semEP
DB00691,DB00281,0.6667,DrugBank,semEP
DB06707,DB09352,0.6667,DrugBank,semEP
DB11613,DB00921,0.6667,DrugBank,semEP
DB00595,DB09093,0.6667,DrugBank,semEP
DB11915,DB01177,0.6667,DrugBank,semEP
DB00255,DB03756,0.6667,DrugBank,semEP
DB01171,DB00309,0.6667,DrugBank,semEP
DB01189,DB01434,0.6667,DrugBank,semEP
DB06706,DB08059,0.6667,DrugBank,semEP
DB09220,DB01233,0.6667,DrugBank,semEP
DB00335,DB01297,0.6667,DrugBank,semEP
DB09250,DB06264,0.6667,DrugBank,semEP
DB03756,DB00865,0.6667,DrugBank,semEP
DB08950,DB06603,0.6667,DrugBank,semEP
DB00304,DB05212,0.6667,DrugBank,semEP
DB00788,DB00658,0.6667,DrugBank,semEP
DB00755,DB00674,0.6667,DrugBank,semEP
DB00705,DB00159,0.6667,DrugBank,semEP
DB06636,DB04865,0.6667,DrugBank,semEP
DB11268,DB01241,0.6667,DrugBank,semEP
DB09250,DB00281,0.6667,DrugBank,semEP
DB01171,DB00159,0.6667,DrugBank,semEP
DB01365,DB06594,0.6667,DrugBank,semEP
DB06264,DB08437,0.6667,DrugBank,semEP
DB06701,DB00422,0.6667,DrugBank,semEP
DB01064,DB11960,0.6667,DrugBank,semEP
DB11641,DB01200,0.6667,DrugBank,semEP
DB13374,DB08816,0.6667,DrugBank,semEP
DB00735,DB01233,0.6667,DrugBank,semEP
DB00195,DB06594,0.6667,DrugBank,semEP
DB05676,DB09085,0.6667,DrugBank,semEP
DB01395,DB01431,0.6667,DrugBank,semEP
DB12001,DB01171,0.6667,DrugBank,semEP
DB00255,DB12930,0.6667,DrugBank,semEP
DB13374,DB12361,0.6667,DrugBank,semEP
DB00486,DB00287,0.6667,DrugBank,semEP
DB08816,DB00612,0.6667,DrugBank,semEP
DB00598,DB00844,0.6667,DrugBank,semEP
DB01189,DB11581,0.6667,DrugBank,semEP
DB00563,DB06813,0.6667,DrugBank,semEP
DB13929,DB00501,0.6667,DrugBank,semEP
DB01083,DB13650,0.6667,DrugBank,semEP
DB00669,DB09101,0.6667,DrugBank,semEP
DB02557,DB09477,0.6667,DrugBank,semEP
DB08980,DB04825,0.6667,DrugBank,semEP
DB08980,DB00841,0.6667,DrugBank,semEP
DB00887,DB09243,0.6667,DrugBank,semEP
DB00455,DB01171,0.6667,DrugBank,semEP
DB01064,DB07615,0.6667,DrugBank,semEP
DB00545,DB01400,0.6667,DrugBank,semEP
DB09049,DB00699,0.6667,DrugBank,semEP
DB00955,DB06696,0.6667,DrugBank,semEP
DB00857,DB08953,0.6667,DrugBank,semEP
DB00014,DB00541,0.6667,DrugBank,semEP
DB00195,DB00636,0.6667,DrugBank,semEP
DB01216,DB08626,0.6667,DrugBank,semEP
DB00696,DB09209,0.6667,DrugBank,semEP
DB06594,DB00217,0.6667,DrugBank,semEP
DB05246,DB06264,0.6667,DrugBank,semEP
DB01141,DB01426,0.6667,DrugBank,semEP
DB01255,DB13345,0.6667,DrugBank,semEP
DB09076,DB00316,0.6667,DrugBank,semEP
DB08980,DB06204,0.6667,DrugBank,semEP
DB09251,DB12618,0.6667,DrugBank,semEP
DB13875,DB06603,0.6667,DrugBank,semEP
DB01064,DB06594,0.6667,DrugBank,semEP
DB00997,DB00612,0.6667,DrugBank,semEP
