Drug1,Drug2,Prob,Method
DB06698,C0007095,0.1803,GIP
DB06826,C0003855,0.1803,GIP
DB06410,C0410740,0.18,GIP
DB00804,C0027059,0.1796,GIP
DB06794,C0002792,0.1794,GIP
DB00331,C0042341,0.1791,GIP
DB06775,C0376358,0.179,GIP
DB01110,C0003962,0.1789,GIP
DB06698,C0006625,0.1789,GIP
DB01011,C0410740,0.1789,GIP
DB00958,C0265294,0.1788,GIP
DB00964,C0007102,0.1788,GIP
DB00658,C0242350,0.1788,GIP
DB01233,C0002792,0.1788,GIP
DB00316,C0033117,0.1786,GIP
DB00710,C0009088,0.1786,GIP
DB01189,C0236024,0.1785,GIP
DB00572,C2711227,0.1782,GIP
DB00399,C0017086,0.1781,GIP
DB01213,C0156394,0.17800000000000002,GIP
DB00597,C0156312,0.17800000000000002,GIP
DB01085,C0025312,0.17800000000000002,GIP
DB00538,C0018418,0.17800000000000002,GIP
DB00658,C0042341,0.17800000000000002,GIP
DB00529,C0033117,0.1778,GIP
DB00788,C0236000,0.1776,GIP
DB06826,C0033578,0.1775,GIP
DB00633,C0018418,0.1774,GIP
DB00746,C1704272,0.1774,GIP
DB00125,C0040261,0.1772,GIP
DB00281,C0015967,0.1769,GIP
DB00544,C0018418,0.1769,GIP
DB00572,C0151480,0.1769,GIP
DB00684,C0007102,0.1768,GIP
DB00440,C0018418,0.1763,GIP
DB00654,C0947912,0.1763,GIP
DB01085,C0410740,0.17600000000000002,GIP
DB01156,C0002792,0.17600000000000002,GIP
DB01255,C1442903,0.1758,GIP
DB06410,C0033893,0.1757,GIP
DB08826,C0010520,0.1755,GIP
DB00741,C2711227,0.1753,GIP
DB00727,C1442903,0.1753,GIP
DB00331,C0030521,0.1751,GIP
DB00323,C0003962,0.1749,GIP
DB00184,C0546956,0.1749,GIP
DB01247,C0546956,0.1748,GIP
DB00332,C2711227,0.1747,GIP
DB00963,C0151480,0.1746,GIP
DB04106,C0009088,0.1741,GIP
DB00753,C0013595,0.174,GIP
DB01085,C0853945,0.1738,GIP
DB08826,C0002447,0.1738,GIP
DB00996,C0029191,0.1737,GIP
DB00788,C0037926,0.1735,GIP
DB01189,C0344232,0.1735,GIP
DB00783,C0009088,0.1735,GIP
DB06151,C0024141,0.1735,GIP
DB01120,C0025323,0.1734,GIP
DB01393,C2711227,0.1733,GIP
DB06698,C0156312,0.1733,GIP
DB00499,C0151529,0.1732,GIP
DB00915,C0151544,0.1732,GIP
DB00855,C0242350,0.1732,GIP
DB00585,C2937220,0.1731,GIP
DB00594,C0002447,0.1729,GIP
DB01275,C0236024,0.1726,GIP
DB00633,C0151529,0.1726,GIP
DB01011,C0853945,0.1725,GIP
DB00501,C0027343,0.172,GIP
DB00399,C2937220,0.1719,GIP
DB00743,C0410740,0.1718,GIP
DB01240,C0002792,0.1718,GIP
DB00742,C0006625,0.1718,GIP
DB00964,C0009088,0.1717,GIP
DB00553,C0026987,0.1717,GIP
DB00742,C1442903,0.1717,GIP
DB06698,C0029191,0.1717,GIP
DB00395,C1704272,0.1716,GIP
DB00720,C0033860,0.1716,GIP
DB04572,C0042341,0.1716,GIP
DB01005,C0026827,0.1712,GIP
DB01083,C0410740,0.1711,GIP
DB01202,C0236024,0.171,GIP
DB00996,C0014743,0.1709,GIP
DB01020,C0022346,0.1708,GIP
DB01019,C0019209,0.1707,GIP
DB01088,C0151529,0.1705,GIP
DB01083,C0033893,0.1703,GIP
DB06637,C0028754,0.1701,GIP
DB01005,C0043094,0.1693,GIP
DB06698,C0042341,0.1691,GIP
DB00321,C0015672,0.1689,GIP
DB00515,C0587246,0.1687,GIP
DB00564,C0018916,0.1683,GIP
DB06201,C0546956,0.1681,GIP
DB00190,C0034212,0.168,GIP
DB01011,C0002447,0.1679,GIP
DB00692,C0162627,0.1679,GIP
DB01275,C0236000,0.1678,GIP
