Drug1,Drug2,Prob,Method
DB00381,C0017565,0.9722,BLM
DB00630,C0042514,0.9722,BLM
DB12091,C0162119,0.9722,BLM
DB01046,C0019079,0.9722,BLM
DB00320,C0019064,0.9721,BLM
DB01217,C0018926,0.9721,BLM
DB00709,C0015402,0.9721,BLM
DB01254,C0151699,0.9721,BLM
DB00580,C0018926,0.9721,BLM
DB00303,C0151699,0.9721,BLM
DB09101,C0017565,0.972,BLM
DB00482,C0017565,0.972,BLM
DB01551,C0018926,0.9719,BLM
DB00571,C0151699,0.9719,BLM
DB00674,C0005695,0.9719,BLM
DB01222,C0015402,0.9719,BLM
DB01046,C0018926,0.9718,BLM
DB00602,C0017565,0.9718,BLM
DB01180,C0018926,0.9717,BLM
DB00762,C0151699,0.9717,BLM
DB00998,C0003855,0.9717,BLM
DB00282,C0019064,0.9716,BLM
DB06698,C0018926,0.9716,BLM
DB00419,C0020437,0.9716,BLM
DB06213,C0017565,0.9716,BLM
DB01262,C0019064,0.9715,BLM
DB01024,C0003855,0.9715,BLM
DB01072,C0019064,0.9713,BLM
DB00316,C0017565,0.9713,BLM
DB00349,C0015402,0.9713,BLM
DB00633,C0151699,0.9713,BLM
DB06213,C0029089,0.9713,BLM
DB00035,C0162119,0.9712,BLM
DB00709,C0151699,0.9712,BLM
DB01073,C0029089,0.9712,BLM
DB00953,C0019064,0.9712,BLM
DB00571,C0162119,0.9711,BLM
DB01264,C0018926,0.9711,BLM
DB06698,C0019079,0.971,BLM
DB01072,C0015402,0.971,BLM
DB01029,C0151699,0.971,BLM
DB01072,C0003855,0.9709,BLM
DB00572,C0162119,0.9708,BLM
DB00630,C0014591,0.9708,BLM
DB01262,C0917798,0.9708,BLM
DB00297,C0015402,0.9708,BLM
DB00491,C0019079,0.9707,BLM
DB00969,C0917798,0.9707,BLM
DB01068,C0015402,0.9707,BLM
DB05528,C0018926,0.9706,BLM
DB00757,C0018926,0.9705,BLM
DB00289,C0015402,0.9705,BLM
DB06663,C0162119,0.9705,BLM
DB00709,C0018926,0.9705,BLM
DB00804,C0162119,0.9705,BLM
DB04896,C0151699,0.9704,BLM
DB09101,C0018099,0.9703,BLM
DB00693,C0019572,0.9703,BLM
DB00224,C0151699,0.9703,BLM
DB01008,C0042345,0.9703,BLM
DB01046,C0018099,0.9703,BLM
DB01129,C0003855,0.9702,BLM
DB09065,C0162119,0.9702,BLM
DB00976,C0018926,0.9701,BLM
DB00227,C0015402,0.9701,BLM
DB01262,C0003855,0.97,BLM
DB00706,C0015402,0.97,BLM
DB01609,C0151699,0.97,BLM
DB06210,C0017565,0.97,BLM
DB00580,C0019079,0.97,BLM
DB06809,C0042514,0.9699,BLM
DB00399,C0019064,0.9699,BLM
DB00481,C0151699,0.9699,BLM
DB01262,C0008311,0.9699,BLM
DB09101,C0027651,0.9696,BLM
DB00969,C0029456,0.9696,BLM
DB01046,C0162119,0.9696,BLM
DB01083,C0017565,0.9696,BLM
DB00507,C0015402,0.9695,BLM
DB00399,C0151699,0.9695,BLM
DB00685,C0019079,0.9695,BLM
DB00762,C0042345,0.9695,BLM
DB01264,C0019572,0.9694,BLM
DB00209,C0018926,0.9694,BLM
DB01628,C0018926,0.9694,BLM
DB04854,C0162119,0.9694,BLM
DB00804,C0019079,0.9694,BLM
DB00331,C0042514,0.9694,BLM
DB09065,C0018926,0.9692,BLM
DB06809,C0018926,0.9692,BLM
DB00489,C0018926,0.9692,BLM
DB00296,C0151699,0.9692,BLM
DB00583,C0019572,0.9689,BLM
DB01129,C0019064,0.9689,BLM
DB01215,C0151699,0.9689,BLM
DB01150,C0019079,0.9689,BLM
DB06825,C0018926,0.9689,BLM
DB00293,C0162119,0.9689,BLM
DB00658,C0018926,0.9688,BLM
DB00630,C0019079,0.9688,BLM
DB01083,C0018926,0.9688,BLM
DB01232,C0018926,0.9688,BLM
DB01072,C0018926,0.9688,BLM
DB00928,C0003855,0.9687,BLM
DB01129,C1384606,0.9687,BLM
DB06769,C0018926,0.9686,BLM
DB01254,C0015402,0.9685,BLM
DB09101,C0019079,0.9685,BLM
DB01268,C0018926,0.9685,BLM
DB00641,C0015402,0.9684,BLM
DB04854,C0149871,0.9684,BLM
DB00461,C0019064,0.9684,BLM
DB00736,C0017565,0.9683,BLM
DB06215,C0015402,0.9683,BLM
DB00999,C0162119,0.9683,BLM
DB00331,C0018926,0.9683,BLM
DB01609,C0015402,0.9683,BLM
DB08874,C0019079,0.9682,BLM
DB00976,C0162119,0.9682,BLM
DB01058,C0019079,0.9681,BLM
DB01024,C0151699,0.9681,BLM
DB00496,C0018099,0.968,BLM
DB00355,C0162119,0.968,BLM
DB00877,C0005695,0.968,BLM
DB01220,C0018926,0.9679,BLM
DB05528,C0019079,0.9679,BLM
DB04835,C0017565,0.9678,BLM
DB00297,C0017565,0.9678,BLM
DB00804,C0015402,0.9677,BLM
DB00175,C0018926,0.9677,BLM
DB00611,C0024117,0.9677,BLM
DB00958,C0019079,0.9676,BLM
DB00491,C0702166,0.9676,BLM
DB00884,C0017565,0.9676,BLM
DB00419,C0162119,0.9676,BLM
DB01129,C0015402,0.9676,BLM
DB00396,C0003855,0.9675,BLM
DB05528,C0027651,0.9674,BLM
DB00296,C0015402,0.9673,BLM
DB00130,C0019079,0.9673,BLM
DB00320,C0003855,0.9673,BLM
DB00419,C0017565,0.9673,BLM
DB12403,C0017565,0.9673,BLM
DB00482,C0162119,0.9672,BLM
DB00602,C0162119,0.9671,BLM
DB01551,C0149871,0.9671,BLM
DB06663,C0018926,0.9668,BLM
DB06210,C0019079,0.9668,BLM
DB01628,C0017565,0.9668,BLM
DB00293,C0019079,0.9668,BLM
DB04485,C0015402,0.9667,BLM
DB05015,C0019079,0.9667,BLM
DB00396,C0019064,0.9666,BLM
DB00572,C0018926,0.9666,BLM
DB00343,C0151699,0.9665,BLM
DB00448,C0018926,0.9665,BLM
DB01079,C0018926,0.9664,BLM
DB00396,C0015402,0.9664,BLM
DB01220,C0019079,0.9663,BLM
DB00489,C0151699,0.9663,BLM
DB00254,C0162119,0.9662,BLM
DB08860,C0018802,0.9661,BLM
DB00642,C0018926,0.9661,BLM
DB00224,C0015402,0.9661,BLM
DB00932,C0018926,0.9661,BLM
DB00630,C0018926,0.966,BLM
DB01129,C0151699,0.966,BLM
DB06215,C0162119,0.9659,BLM
DB01241,C0017181,0.9659,BLM
DB06215,C0017565,0.9659,BLM
DB00209,C0017565,0.9658,BLM
DB01024,C0015402,0.9658,BLM
DB00297,C0018926,0.9657,BLM
DB00572,C0019079,0.9657,BLM
DB00489,C0020437,0.9654,BLM
DB00316,C0018926,0.9654,BLM
DB00932,C0017565,0.9653,BLM
DB01250,C0018926,0.9653,BLM
DB00489,C0017565,0.9653,BLM
DB06436,C0019079,0.9652,BLM
DB01029,C0003855,0.9652,BLM
DB00130,C0149871,0.9652,BLM
DB01029,C0917798,0.9652,BLM
DB00343,C0015402,0.9652,BLM
DB00853,C0019064,0.9651,BLM
DB01076,C0018926,0.9651,BLM
DB00806,C0162119,0.9651,BLM
DB00633,C0015402,0.965,BLM
DB01079,C0017565,0.965,BLM
DB01080,C0019064,0.965,BLM
DB04485,C0017565,0.965,BLM
DB01083,C0162119,0.9649,BLM
DB00997,C0028866,0.9649,BLM
DB00531,C0042963,0.9649,KBMF2K
DB00684,C0018926,0.9648,BLM
DB09065,C0017565,0.9647,BLM
DB00877,C0024117,0.9647,BLM
DB00932,C0162119,0.9647,BLM
