Drug1,Drug2,Prob,Method
DB00431,C0000731,0.4068,LapRLS
DB06261,C0392525,0.4066,LapRLS
DB00431,C0043094,0.4064,LapRLS
DB00753,C0012569,0.4059,LapRLS
DB01080,C0013404,0.4058,LapRLS
DB06151,C0030305,0.4058,LapRLS
DB00753,C0030554,0.4053,LapRLS
DB00727,C0424295,0.4051,LapRLS
DB01008,C0018790,0.4051,LapRLS
DB00431,C0151798,0.405,LapRLS
DB06698,C0012569,0.4048,LapRLS
DB00996,C0000731,0.4046,LapRLS
DB06261,C0033975,0.4029,LapRLS
DB06151,C0014591,0.4026,LapRLS
DB04572,C0232461,0.4026,LapRLS
DB00720,C0015967,0.402,LapRLS
DB00753,C0018681,0.4015,LapRLS
DB00828,C0009319,0.4014,LapRLS
DB00316,C0026826,0.4013,LapRLS
DB06698,C0162429,0.401,LapRLS
DB00431,C1456784,0.401,LapRLS
DB00583,C0020456,0.4008,LapRLS
DB00727,C0014591,0.3997,LapRLS
DB06698,C0037274,0.3997,LapRLS
DB00431,C0034065,0.3996,LapRLS
DB01236,C0232461,0.3994,LapRLS
DB01080,C0002792,0.3994,LapRLS
DB00130,C0232461,0.3991,LapRLS
DB00828,C0041657,0.3991,LapRLS
DB00720,C0014457,0.3984,LapRLS
DB06261,C0004604,0.3981,LapRLS
DB01019,C0002962,0.39799999999999996,LapRLS
DB04572,C0013604,0.3978,LapRLS
DB01008,C0037274,0.3975,LapRLS
DB06261,C0015967,0.3973,LapRLS
DB01189,C0003862,0.3964,LapRLS
DB06698,C0085649,0.3964,LapRLS
DB01236,C0009319,0.3957,LapRLS
DB11180,C0034065,0.3954,LapRLS
DB06151,C0423791,0.3944,LapRLS
DB00130,C0002962,0.3943,LapRLS
DB06261,C0085649,0.3942,LapRLS
DB00727,C0014457,0.3939,LapRLS
DB00828,C0013595,0.3935,LapRLS
DB00316,C0003864,0.3928,LapRLS
DB11180,C0002418,0.3926,LapRLS
DB00597,C0080274,0.3926,LapRLS
DB00431,C0020651,0.3924,LapRLS
DB00828,C0015967,0.3923,LapRLS
DB00316,C0575081,0.3922,LapRLS
DB00316,C0085631,0.3913,LapRLS
DB00828,C0043094,0.391,LapRLS
DB00597,C0009676,0.3909,LapRLS
DB01080,C0020649,0.3908,LapRLS
DB00727,C0030305,0.3906,LapRLS
DB01019,C0232461,0.3905,LapRLS
DB00316,C0002418,0.3903,LapRLS
DB00125,C0013604,0.3901,LapRLS
DB00727,C0151798,0.3899,LapRLS
DB06698,C0080274,0.3898,LapRLS
DB00720,C0017181,0.3897,LapRLS
DB00313,C0033774,0.3896,LapRLS
DB00753,C0030193,0.3894,LapRLS
DB00828,C0004604,0.3893,LapRLS
DB00316,C0013404,0.389,LapRLS
DB00720,C0033975,0.387,LapRLS
DB00753,C0162429,0.3869,LapRLS
DB01008,C0151798,0.3867,LapRLS
DB00431,C0018790,0.3867,LapRLS
DB00316,C0011606,0.3863,LapRLS
DB00316,C0542571,0.3857,LapRLS
DB00720,C0032285,0.3852,LapRLS
DB06698,C0085605,0.3852,LapRLS
DB06261,C0039070,0.3844,LapRLS
DB06261,C0085632,0.3842,LapRLS
DB00753,C0009319,0.3838,LapRLS
DB01019,C0020651,0.3833,LapRLS
DB06261,C0030554,0.3831,LapRLS
DB00753,C0080274,0.3829,LapRLS
DB01043,C0013604,0.3828,LapRLS
DB06151,C0424295,0.3826,LapRLS
DB06698,C0040264,0.3825,LapRLS
DB00597,C0424295,0.3824,LapRLS
DB00720,C0012569,0.3821,LapRLS
DB00431,C0085632,0.3817,LapRLS
DB00431,C0039070,0.3817,LapRLS
DB00727,C0015967,0.381,LapRLS
DB11180,C0024282,0.3809,LapRLS
DB00727,C0015230,0.3802,LapRLS
DB00720,C0013404,0.3801,LapRLS
DB01008,C3665386,0.3801,LapRLS
DB01008,C0085632,0.3795,LapRLS
DB00431,C0015230,0.3793,LapRLS
DB11180,C0043094,0.3792,LapRLS
DB00125,C0009676,0.3792,LapRLS
DB00828,C0018790,0.379,LapRLS
DB00583,C0423791,0.379,LapRLS
DB00431,C0232462,0.3788,LapRLS
DB00720,C0392525,0.3786,LapRLS
DB06261,C0026826,0.3784,LapRLS
DB01019,C0013604,0.3783,LapRLS
DB11180,C0004134,0.3774,LapRLS
DB00125,C0423791,0.3769,LapRLS
DB00125,C0015967,0.3768,LapRLS
DB00125,C0033774,0.3764,LapRLS
DB01213,C0234632,0.3763,LapRLS
DB00316,C0017181,0.376,LapRLS
DB00727,C0037274,0.3755,LapRLS
DB06151,C0080274,0.3753,LapRLS
DB11180,C0003864,0.3752,LapRLS
DB06261,C0037274,0.3751,LapRLS
DB01213,C0162297,0.3744,LapRLS
